,Name,Categories,Description,Tag,FirstDetected,LastDetected,IsPremium,Link,Parent
74,Euro,['Currency'],The website uses the € symbol on its website - meaning it may accept payment in Euros.,payment,1475535600000,1633417200000,no,https://en.wikipedia.org/wiki/Euro,
75,Font Awesome,['Fonts'],Iconic font and CSS toolkit.,widgets,1476140400000,1476140400000,no,http://fontawesome.io,
76,PayPal Form,['Payments Processor'],The website contains a form for paying with PayPal.,payment,1479337200000,1618124400000,no,http://paypal.com,
77,SSL by Default,,The website redirects traffic to an HTTPS/SSL version by default.,ssl,1486335600000,1636268400000,no,http://trends.builtwith.com/ssl,
78,Cloudflare,,Automatically optimizes the delivery of your web pages so your visitors get the fastest page load times and best performance.,cdn,1490914800000,1636268400000,no,http://www.cloudflare.com/,
79,nginx,,nginx [engine x] is a HTTP server and mail proxy server written by Igor Sysoev.,Web Server,1490914800000,1512342000000,no,http://nginx.net/,
80,Cloudflare Rocket Loader,['Application Performance'],Automatically optimizes your pages to minimize the number of network connections and ensure even third party resources won't slow down page rendering.,analytics,1491519600000,1491519600000,no,https://www.cloudflare.com/features-optimizer,
81,Comodo PositiveSSL,,Comodo Positive SSL certificate.,ssl,1491260400000,1518735600000,no,http://www.positivessl.com/ssl-certificate-positivessl.php,
82,Cloudflare Hosting,"['US hosting', 'Cloud Hosting', 'Cloud PaaS']",Supercharged web hosting service.,hosting,1491260400000,1636268400000,no,http://cloudflare.com,
83,Cloudflare DNS,,DNS services provided by Cloudflare.,ns,1491260400000,1636268400000,no,http://cloudflare.com,
84,Cloudflare SSL,,SSL solutions from Cloudflare,ssl,1491260400000,1636268400000,no,http://cloudflare.com,
85,Dutch,,Website content is written in Dutch.,language,1496530800000,1636268400000,no,http://nl.wikipedia.org,
86,Global Site Tag,,"Google's primary tag for Google Measurement/Conversion Tracking, Adwords and DoubleClick.",analytics,1521586800000,1636268400000,no,https://support.google.com/adwords/answer/7548399,
87,Bootstrap.js,['JavaScript Library'],Twitter Bootstrap JS components.,javascript,1521586800000,1526252400000,no,https://getbootstrap.com/javascript/,
88,Typeahead.js,,typeahead.js is an autocomplete library from Twitter.,javascript,1521586800000,1630220400000,no,https://github.com/twitter/typeahead.js,
89,Google Tag Manager,['Tag Management'],Tag management that lets you add and update website tags without changes to underlying website code.,widgets,1521586800000,1633417200000,no,http://google.com/tagmanager,
90,Silktide Cookie Consent,,"A free, open source solution to the EU cookie law. Now known as Cookie Consent by Insites.",widgets,1527202800000,1636268400000,no,http://silktide.com/cookieconsent,
91,Cart Functionality,['Non Platform'],The site has a link to a shopping cart which is not categorized under any of the cart technologies we track (custom implementation or not tracked yet).,shop,1531090800000,1531090800000,no,http://builtwith.com/ecommerce,
92,Cookie Consent by Osano,['Privacy Compliance'],Popular solution for the EU cookie law. Previously Insites Cookie Consent and Silktide Cookie Consent.,widgets,1563231600000,1636268400000,no,https://cookieconsent.osano.com,
93,Japanese Yen,['Currency'],The website uses the ¥ symbol on its website - meaning it may accept payment in this Japanese currency.,payment,1584140400000,1615190400000,no,https://en.wikipedia.org/wiki/Japanese_yen,
94,COVID-19,,This website mentions COVID-19 / Novel Coronavirus.,widgets,1585695600000,1614585600000,no,https://www.who.int/emergencies/diseases/novel-coronavirus-2019,
95,PayPal,['Payment Acceptance'],The website accepts payments with PayPal.,payment,1589324400000,1636268400000,no,http://paypal.com,
96,DMARC,['DMARC'],A technical specification created by a group of organizations that want to help reduce the potential for email-based abuse,mx,1589583600000,1636268400000,no,http://www.dmarc.org,
97,reCAPTCHA v3,['CAPTCHA'],eCAPTCHA v3 returns a score for each request without user friction.,widgets,1592780400000,1636268400000,no,https://developers.google.com/recaptcha/docs/v3,reCAPTCHA
98,jQuery Migrate,['Compatibility'],APIs and features removed from jQuery core,javascript,1591052400000,1633158000000,no,https://github.com/jquery/jquery-migrate,jQuery
99,Cloudflare JS,,Loads content from Cloudflare CDN.,cdn,1601967600000,1622703600000,no,https://cloudflare.com,
100,Google Search Appliance,['Enterprise'],Google Search for Work system provides searching of internal business systems.,cms,1601967600000,1630220400000,yes,https://www.google.com.au/work/search/products/gsa.html,
101,Elastic Email,['Business Email Hosting'],Elastic Email is an email delivery service for your cloud application or marketing needs.,mx,1600383600000,1620975600000,yes,http://elasticemail.com/,
102,reCAPTCHA,['CAPTCHA'],Anti-bot CAPTCHA widget from Google.,widgets,1606204800000,1633417200000,no,https://www.google.com/recaptcha/intro/index.html,
103,FLoC,,FLoC - Federated Learning of Cohorts provides a privacy-preserving mechanism for interest-based ad selection.,ads,1623740400000,1636268400000,no,https://github.com/WICG/floc,
104,FLoC Opt-Out,,The website has opted-out of FLoC to declare that it does not want to be included in the user's list of sites for cohort calculation.,ads,1625468400000,1636268400000,no,https://github.com/WICG/floc/blob/main/README.md,FLoC
105,Plans and Pricing,,"The website contains a link to a ""Plans"" or ""Pricing"" page - useful for finding SaaS tools.",link,1633935600000,1633935600000,no,https://kb.builtwith.com/special-reports/link-tracking/,
